ID,Code,ประเภท Facter,ข้อย่อย,Weight,Target,คำอธิบาย
,18,2,การประเมินภาวะสุขภาพ (Health Assessment) - การเก็บรวบรวมข้อมูล,1,3,"5 คะแนน   หมายถึง  สอนงาน
4 คะแนน   หมายถึง  พัฒนา 
3 คะแนน   หมายถึง  เสนอแนะ
 2 คะแนน   หมายถึง  ทำได้
1 คะแนน   หมายถึง  เข้าใจ"
,18,2,การประเมินภาวะสุขภาพ (Health Assessment) - การวิเคราะห์ข้อมูล,1,3,"5 คะแนน   หมายถึง  สอนงาน
4 คะแนน   หมายถึง  พัฒนา 
3 คะแนน   หมายถึง  เสนอแนะ
 2 คะแนน   หมายถึง  ทำได้
1 คะแนน   หมายถึง  เข้าใจ"
,18,2,การวินิจฉัยการพยาบาล (Nursing Diagnosis) -การกำหนดข้อวินิจฉัยทางการพยาบาล,1,3,"5 คะแนน   หมายถึง  สอนงาน
4 คะแนน   หมายถึง  พัฒนา 
3 คะแนน   หมายถึง  เสนอแนะ
 2 คะแนน   หมายถึง  ทำได้
1 คะแนน   หมายถึง  เข้าใจ"
,18,2,การวินิจฉัยการพยาบาล (Nursing Diagnosis) -การกำหนดข้อมูลสนับสนุน,1,3,"5 คะแนน   หมายถึง  สอนงาน
4 คะแนน   หมายถึง  พัฒนา 
3 คะแนน   หมายถึง  เสนอแนะ
 2 คะแนน   หมายถึง  ทำได้
1 คะแนน   หมายถึง  เข้าใจ"
,18,2,การวางแผนการพยาบาล (Nursing Planning) - การจัดลำดับความสำคัญของปัญหา,1,3,"5 คะแนน   หมายถึง  สอนงาน
4 คะแนน   หมายถึง  พัฒนา 
3 คะแนน   หมายถึง  เสนอแนะ
 2 คะแนน   หมายถึง  ทำได้
1 คะแนน   หมายถึง  เข้าใจ"
,18,2,การวางแผนการพยาบาล (Nursing Planning) - การกำหนดเป้าหมายของการพยาบาล,1,3,"5 คะแนน   หมายถึง  สอนงาน
4 คะแนน   หมายถึง  พัฒนา 
3 คะแนน   หมายถึง  เสนอแนะ
 2 คะแนน   หมายถึง  ทำได้
1 คะแนน   หมายถึง  เข้าใจ"
,18,2,การวางแผนการพยาบาล (Nursing Planning) - เกณฑ์การประเมินผลการพยาบาล,1,3,"5 คะแนน   หมายถึง  สอนงาน
4 คะแนน   หมายถึง  พัฒนา 
3 คะแนน   หมายถึง  เสนอแนะ
 2 คะแนน   หมายถึง  ทำได้
1 คะแนน   หมายถึง  เข้าใจ"
,18,2,การวางแผนการพยาบาล (Nursing Planning) - การกำหนดกิจกรรมการพยาบาล,1,3,"5 คะแนน   หมายถึง  สอนงาน
4 คะแนน   หมายถึง  พัฒนา 
3 คะแนน   หมายถึง  เสนอแนะ
 2 คะแนน   หมายถึง  ทำได้
1 คะแนน   หมายถึง  เข้าใจ"
,18,2,การปฏิบัติการพยาบาล (Nursing Implementation) - การปฏิบัติการพยาบาลตามแผน,1,3,"5 คะแนน   หมายถึง  สอนงาน
4 คะแนน   หมายถึง  พัฒนา 
3 คะแนน   หมายถึง  เสนอแนะ
 2 คะแนน   หมายถึง  ทำได้
1 คะแนน   หมายถึง  เข้าใจ"
,18,2,การปฏิบัติการพยาบาล (Nursing Implementation) - การบันทึกทางการพยาบาลตามนโยบาย,1,3,"5 คะแนน   หมายถึง  สอนงาน
4 คะแนน   หมายถึง  พัฒนา 
3 คะแนน   หมายถึง  เสนอแนะ
 2 คะแนน   หมายถึง  ทำได้
1 คะแนน   หมายถึง  เข้าใจ"
