tb_kpi_master
Id หลัก,Facter ID,ประเภทการคิด,กลุ่มหัวข้อ,โค้ดการประเมิน,ชื่อ KPI,น้ำหนัก,Target,คะแนน 1,คะแนน 2,คะแนน 3,คะแนน 4,คะแนน 5
2,1,2,2,PPSV-201908-001,ทดสอบการสร้าง KPI คำนวนเเบบ จำนวนเต็ม > - <,33,10,50,40,30,20,10
3,1,3,4,PPSV-201908-001,ทดสอบการสร้าง KPI คำนวนเเบบ ช่วง <  - >,34,20,10,11-20,21-30,31-40,41
4,1,3,4,PPSV-201908-001,ทดสอบการสร้าง KPI คำนวนเเบบ ช่วง <  - >,33,20,10,11-20,21-30,31-40,41
5,1,2,2,PPSV-201908-001,ทดสอบการสร้าง KPI คำนวนเเบบ จำนวนเต็ม > - <,33,10,50,40,30,20,10
6,1,2,3,PPSV-201908-001,ทดสอบการสร้าง KPI คำนวนเเบบ ช่วง > - <,34,30,41,31-40,21-30,11-20,10
7,1,1,3,PPSV-201908-001,ทดสอบการสร้าง KPI คำนวนเเบบ จำนวนเต็ม < - >,25,40,10,20,30,40,50
8,1,2,2,PPSV-201908-001,ทดสอบการสร้าง KPI คำนวนเเบบ จำนวนเต็ม > - <,25,10,50,40,30,20,10
9,1,3,4,PPSV-201908-001,ทดสอบการสร้าง KPI คำนวนเเบบ ช่วง <  - >,25,20,10,11-20,21-30,31-40,41
10,1,2,2,PPSV-201908-001,ทดสอบการสร้าง KPI คำนวนเเบบ จำนวนเต็ม > - <,25,10,50,40,30,20,10
11,1,2,2,PPSV-201908-001,ทดสอบการสร้าง KPI คำนวนเเบบ จำนวนเต็ม > - <,25,10,50,40,30,20,10
12,1,2,11,PPSV-201908-003,ทดสอบการสร้าง Par,25,10,10,20,30,40,50
13,1,1,12,PPSV-201908-003,ทดสอบการสร้าง Dis,25,10,10,20,30,40,50
14,1,3,13,PPSV-201908-003,ทดสอบการสร้าง Att,25,10,10,20,30,40,50
15,1,1,3,PPSV-201908-002,ทดสอบการสร้าง KPI คำนวนเเบบ จำนวนเต็ม < - >,25,40,10,20,30,40,50
16,1,2,3,PPSV-201908-002,ทดสอบการสร้าง KPI คำนวนเเบบ ช่วง > - <,25,30,41,31-40,21-30,11-20,10
17,1,2,3,PPSV-201908-002,ทดสอบการสร้าง KPI คำนวนเเบบ ช่วง > - <,25,30,41,31-40,21-30,11-20,10
18,1,1,1,PPSV-201908-002,Total Revenue (YTD),20,1,"1,208.10","1,237.10-1,","1,267.10-1,","1,297.10-1,","1,298.10"
19,1,2,1,PPSV-201908-002,Waiting Time for Medications OPD <10 min,4,80,49,50 - 59,60 - 69,70 - 79,80
