ค่าว่าง,กำหนด 2,ชื่อ FC,สถานะ,
,2,กระบวนการพยาบาล,Y,
,2,การช่วยชีวิตและภาวะวิกฤติ,Y,
,2,การบริหารยา,Y,
,2,การบริหารสารน้ำ,Y,
,2,การบริหารเลือด,Y,
,2,การจัดการกับความเจ็บปวด,Y,
,2,การดูแลภาวะโภชนาการ,Y,
,2,การควบคุมและป้องกันการติดเชื้อ,Y,
,2,ความรู้ในการดูแลผู้ป่วยตาม Bundle of care : VAP & HAP,Y,
,2,ความสามารถในการใช้เครื่อง Defibrillator,Y,
,2,ความสามารถในการอ่านและแปลผล EKG,Y,
,2,ความรู้ในการดูแลผู้ป่วย  กลุ่ม  Acute  MI,Y,
,2,การดูแลผู้ป่วยเด็กที่มีอาการชัก,Y,
,2,การ Suction ผู้ป่วยเด็ก,Y,
,2,การเตรียมเครื่องมือช่วยแพทย์,Y,
,2,การช่วยชีวิตขั้นพื้นฐาน,Y,
,2,การดูแลสุขอนามัยของผู้ป่วย,Y,
,2,การสื่อสารประสานงาน,Y,
,2,การใช้ระบบ HIS ในโรงพยาบาล,Y,
,2,การประเมินผู้ป่วยโรคหัวใจ,Y,
,2,หัตถการฉีดสีตรวจสวนหัวใจ,Y,
,2,การรับผู้ป่วยและส่งมอบผลตรวจ,Y,
,2,การดูแลผู้ป่วย,Y,
,2,การตรวจเทคโนโลยีหัวใจและทรวงอก,Y,
,2,เครื่องมือทางเทคโนโลยีหัวใจฯ,Y,
,2,การนัดหมายและเตรียมความพร้อม,Y,
,2,วิชาชีพเทคโนโลยีหัวใจและทรวงอก,Y,
,2,การ Triage,Y,
,2,การดูแลผู้ป่วยเบาหวาน,Y,
,2,การดูแลผู้ป่วยโรคสมอง,Y,
,2,การเป็นเลขาแพทย์หน้าห้องตรวจ,Y,
,2,การช่วยแพทย์ทำหัตถการ,Y,
,2,การป้องกันภาวะชักจากไข้สูง,Y,
,2,การช่วยแพทย์เจาะก้อนที่คอ,Y,
,2,การเช็ดตัวลดไข้,Y,
,2,การเตรียมผู้ป่วยผ่าตัด,Y,
,2,การเตรียมผ่าตัดฝัน,Y,
,2,ภาวะฉุกเฉินระหว่างการตั้งครรภ์,Y,
,2,การประเมินหญิงตั้งครรภ์,Y,
,2,การตรวจภายใน/มะเร็งปากมดลูก,Y,
,2,การเจาะน้ำคร่ำ,Y,
,2,การผ่าฝี/ฝ่าต่อมบาโทลิน,Y,
,2,การตรวจ ultrasound,Y,
,2,การฝังยาคุมกำเนิด,Y,
,2,การเตรียมผู้ป่วยผ่าตัด หัตถการ,Y,
,2,การส่งผู้ป่วยตรวจพิเศษต่างๆ,Y,
,2,การดูแลผู้ป่วยผ่าตัดเปลี่ยนข้อเทียม ตามCare Map,Y,
,2,การประเมินผู้ป่วย Stroke,Y,
,2,การประเมินผู้ป่วยโรคหัวใจและหลอดเลือด,Y,
,2,หัตถการส่องกล้องทางเดินอาหาร,Y,
,2,ผู้ป่วยGastroscopy&Colonoscopy,Y,
,2,การช่วยแพทย์ทำหัตถการ,Y,
,2,การเตรียมเครื่องมือส่องกล้องฯ,Y,
,2,การประเมินก่อน-หลังผ่าตัดคลอด,Y,
,2,แบบประเมินภาวะตกเลือดหลังคลอด,Y,
,2,การประเมินผู้ป่วยต้อกระจก,Y,
,2,การเตรียมผู้ป่วยผ่าตัดคลอด,Y,
,2,การเตรียมผู้ป่วยโดยทั่วไป,Y,
,2,การพยาบาลผู้ป่วยเจาะปอด,Y,
,2,การพยาบาลผู้ป่วยผ่าตัดไส้ติ่ง,Y,
,2,เครื่องมือใส่ท่อระบายทรวงอก,Y,
,2,การเตรียมผู้ป่วยผ่าตัด,Y,
,2,การพยาบาลผู้ป่วย DM,Y,
,2,การพยาบาลผู้ป่วย CVA,Y,
,2,การเตรียมตรวจทางรังสีวินิจฉัย,Y,
,2,การเตรียมทำการเจาะปอด,Y,
,2,การช่วยแพทย์ทำหัตถการเจาะท้อง,Y,
,2,การพยาบาลผู้ป่วยโรคหัวใจ,Y,
,2,เตรียมเครื่องมือเจาะปอด,Y,
,2,เตรียมเครื่องมือเจาะหลัง,Y,
,2,การเตรียมอุปกรณ์ทำแผล,Y,
,2,เตรียมเครื่องมือเจาะท้อง,Y,
,2,การเตรียมเครื่องมือช่วยแพทย์,Y,
,2,การเช็ดตัวลดไข้,Y,
,2,การเตรียมอุปกรณ์สำหรับ suction,Y,
,2,การช่วยผ่าตัดคลอดLT C/S (ON.),Y,
,2,การช่วยทำผ่าตัดผ่านกล้อง(ON.),Y,
,2,การช่วยทำผ่าตัดไส้ติ่ง(ON.),Y,
,2,เตรียมเครื่องมือผ่าตัดไส้ติ่ง,Y,
,2,เครื่องมือผ่าตัดผ่านกล้อง,Y,
,2,เตรียมเครื่องมือผ่าตัดคลอด,Y,
,2,ความรู้เรื่องโรคไตวายเฉียบพลัน,Y,
,2,หัตถการ On Double Lumen Catheter,Y,
,2,การดูแลผู้ป่วยฟอกเลือด,Y,
,2,การเตรียมตัวกรองสำหรับฟอกเลือด,Y,
,2,การล้างตัวกรองสำหรับฟอกเลือด,Y,
,2,บริการตรวจสุขภาพนอกสถานที่,Y,
,2,การแปลผลตรวจสุขภาพต่างๆ,Y,
,2,การให้คำปรึกษาด้านสุขภาพ และ วัคซีน,Y,
,2,การเจาะเลือดและเก็บสิ่งส่งตรวจ,Y,
,2,ทักษะในการจำแนกลูกค้า ,Y,
,2,การจัดทำรายงานผลตรวจสุขภาพบริษัท,Y,
,2,ศัพท์ทางการแพทย์,Y,
,2,การเรียบเรียงภาษา,Y,
,2,โปรแกรมตรวจสุขภาพต่างๆ,Y,
,2,ทักษะในการขายโปรแกรมตรวจสุขภาพ,Y,
,2,ทักษะการสื่อสารและประสานงาน,Y,
,2,การคีย์โปรแกรม   รายการตรวจต่างๆ,Y,
,2,การเป็นเลขาแพทย์หน้าห้องตรวจ,Y,
,2,การเก็บและนำส่งสิ่งส่งตรวจ,Y,
,2,ทักษะในการทำหัตถการต่างๆ,Y,
,2,งานด้านการควบคุมและป้องกันการติดเชื้อ,Y,
,2,การทำความสะอาดให้ปราศจากเชื้อ,Y,
,2,การประเมินใบสั่งยา,Y,
,2,การแนะนำและให้คำปรึกษาด้านยา,Y,
