Id หลัก,Facter ID,ประเภทการคิด,กลุ่มหัวข้อ,โค้ดการประเมิน,ชื่อ KPI,น้ำหนัก,Target,คะแนน 1,คะแนน 2,คะแนน 3,คะแนน 4,คะแนน 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,PPSV-201908-001,Total Revenue (YTD),20,1309,1208.1,1237.10-1208.10,1267.10-1238.10,1297.10-1268.10,1298.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,3,1,PPSV-201908-001,EBITDA,10,22.2,17.7,17.8 - 18.8,18.9 - 19.9,20 - 21,21.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,3,1,PPSV-201908-001,Net Profit,5,11.5,10.6,10.6 - 10.7,10.8 - 10.9,11 - 11.1,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,3,3,PPSV-201908-001,OPD Customer Growth,15,6,1.2,1.3 - 2.5,2.6 - 3.8,3.9 - 5.1,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,PPSV-201908-001,Customer Satisfaction Index,15,90,76,77 - 80,81 - 85,86 - 89,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,4,PPSV-201908-001,Medication error - Transcibling ( per 1 000 Prescription),4,5,1.24,1.25 - 1.1,1 - 0.76,0.75 - 0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,5,PPSV-201908-001,Training Hour,5,90,76,77 - 80,81 - 85,86 - 89,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,4,PPSV-201908-001,OPD Waiting Time < 15 min. ,4,80,49,50 - 59,60 - 69,70 - 79,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,4,PPSV-201908-001,ER Waiting Time < 1 min.  ,5,80,49,50 - 59,60 - 69,70 - 79,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,4,PPSV-201908-001,Waiting Time for Medications OPD <10 min  ,4,80,49,50 - 59,60 - 69,70 - 79,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,4,PPSV-201908-001,Discharge Waiting Time - Self-pay < 60 min. ,4,80,49,50 - 59,60 - 69,70 - 79,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
