Id หลัก,Facter ID,กลุ่มหัวข้อ,โค้ดการประเมิน,ชื่อ competency,ตัวอย่าง,น้ำหนัก,Target,คะแนน 1,คะแนน 2,คะแนน 3,คะแนน 4,คะแนน 5,,
,5,18,PPSV-201908-616,การดูแลต่อเนื่องและใช้กระบวนการตั้งแต่แรกรับจนจำหน่าย,,0.6,4,เข้าใจ,ทำได้,เสนอแนะ,พัฒนา ,สอนงาน,,
,5,18,PPSV-201908-616,การปฏิบัติการพยาบาล (Nursing Implementation) - การบันทึกทางการพยาบาลตามนโยบาย,,0.6,4,เข้าใจ,ทำได้,เสนอแนะ,พัฒนา ,สอนงาน,,
,5,18,PPSV-201908-616,การปฏิบัติการพยาบาล (Nursing Implementation) - การปฏิบัติการพยาบาลตามแผน,,0.6,4,เข้าใจ,ทำได้,เสนอแนะ,พัฒนา ,สอนงาน,,
,5,18,PPSV-201908-616,การปฏิบัติตามจรรยาบรรณวิชาชีพและการปฏิบัติตามสิทธิผู้ป่วย,,0.6,4,เข้าใจ,ทำได้,เสนอแนะ,พัฒนา ,สอนงาน,,
,5,18,PPSV-201908-616,การประเมินผลการพยาบาล (Nursing Evauation),,0.6,4,เข้าใจ,ทำได้,เสนอแนะ,พัฒนา ,สอนงาน,,
,5,18,PPSV-201908-616,การประเมินภาวะสุขภาพ (Health Assessment) - การเก็บรวบรวมข้อมูล,,0.6,4,เข้าใจ,ทำได้,เสนอแนะ,พัฒนา ,สอนงาน,,
,5,18,PPSV-201908-616,การประเมินภาวะสุขภาพ (Health Assessment) - การวิเคราะห์ข้อมูล,,0.6,4,เข้าใจ,ทำได้,เสนอแนะ,พัฒนา ,สอนงาน,,
,5,18,PPSV-201908-616,การประสานงานร่วมกันกับทีมสหสาขาวิชาชีพ,,0.6,4,เข้าใจ,ทำได้,เสนอแนะ,พัฒนา ,สอนงาน,,
,5,18,PPSV-201908-616,การวางแผนการพยาบาล (Nursing Planning) - เกณฑ์การประเมินผลการพยาบาล,,0.6,4,เข้าใจ,ทำได้,เสนอแนะ,พัฒนา ,สอนงาน,,
,5,18,PPSV-201908-616,การวางแผนการพยาบาล (Nursing Planning) - การกำหนดเป้าหมายของการพยาบาล,,0.6,4,เข้าใจ,ทำได้,เสนอแนะ,พัฒนา ,สอนงาน,,
,5,18,PPSV-201908-616,การวางแผนการพยาบาล (Nursing Planning) - การกำหนดกิจกรรมการพยาบาล,,0.6,4,เข้าใจ,ทำได้,เสนอแนะ,พัฒนา ,สอนงาน,,
,5,18,PPSV-201908-616,การวางแผนการพยาบาล (Nursing Planning) - การจัดลำดับความสำคัญของปัญหา,,0.6,4,เข้าใจ,ทำได้,เสนอแนะ,พัฒนา ,สอนงาน,,
,5,18,PPSV-201908-616,การวินิจฉัยการพยาบาล (Nursing Diagnosis) -การกำหนดข้อมูลสนับสนุน,,0.6,4,เข้าใจ,ทำได้,เสนอแนะ,พัฒนา ,สอนงาน,,
,5,18,PPSV-201908-616,การวินิจฉัยการพยาบาล (Nursing Diagnosis) -การกำหนดข้อวินิจฉัยทางการพยาบาล,,0.6,4,เข้าใจ,ทำได้,เสนอแนะ,พัฒนา ,สอนงาน,,
,5,25,PPSV-201908-616,Hand Hygiene ความรู้และการปฏิบัติล้างมือได้ถูกต้องตามนโยบาย (5 moment 7 step),,0.6,4,เข้าใจ,ทำได้,เสนอแนะ,พัฒนา ,สอนงาน,,
,5,25,PPSV-201908-616,การจัดการขยะติดเชื้อ   อธิบายประเภทของขยะได้ และสามารถแยกทิ้งขยะได้ถูกต้อง,,0.6,4,เข้าใจ,ทำได้,เสนอแนะ,พัฒนา ,สอนงาน,,
,5,25,PPSV-201908-616,การจัดการของ sterile รู้วิธีการจัดการกับอุปกรณ์ปราศจากเชื้อใกล้วันหมดอายุ การจัดเรียง First in first out และการใช้ตามหลัก aseptic technique,,0.6,4,เข้าใจ,ทำได้,เสนอแนะ,พัฒนา ,สอนงาน,,
,5,25,PPSV-201908-616,การจัดการของมีคมติดเชื้อสามารถทิ้งขยะมีคมติดเชื้อถูกภาชนะที่กำหนดไว้ และแนวทางปฏิบัติเมื่อถูกของมีคมทิ่มตำหรือสารคัดหลั่งกระเด็นเข้าตา,,0.6,4,เข้าใจ,ทำได้,เสนอแนะ,พัฒนา ,สอนงาน,,
,5,25,PPSV-201908-616,"สวมถุงมือก่อนสัมผัสเลือดและสารคัดหลั่งหรือกิจกรรมที่เสี่ยงต่อการสัมผัสเลือดหรือสารคัดหลั่ง , ใช้ 1 คู่ / 1 กิจกรรม",,0.6,4,เข้าใจ,ทำได้,เสนอแนะ,พัฒนา ,สอนงาน,,
