id,Code,Name,Type
,PPCH-202003-001,PPCH Hospital KPIs,1
,PPCH-202003-002,PPCH - DEP - OPD,2
,PPCH-202003-003,PPCH - DEP - ER,2
,PPCH-202003-004,PPCH - DEP - ICU,2
,PPCH-202003-005,PPCH - DEP - OR,2
,PPCH-202003-006,PPCH - DEP - LR,2
,PPCH-202003-007,PPCH - DEP - WARD2,2
,PPCH-202003-008,PPCH - DEP - WARD3,2
,PPCH-202003-009,PPCH - DEP - PHARMACY,2
,PPCH-202003-010,PPCH - DEP - LAB,2
,PPCH-202003-011,PPCH - DEP - X-RAY,2
,PPCH-202003-012,PPCH - DEP - REHAB,2
,PPCH-202003-013,PPCH - DEP - CRM,2
,PPCH-202003-014,PPCH - DEP - PORTER,2
,PPCH-202003-015,PPCH - DEP - QMC,2
,PPCH-202003-016,PPCH - DEP - MARCOM,2
,PPCH-202003-017,PPCH - DEP - TRANSPORT,2
,PPCH-202003-018,PPCH - DEP - SECRETARY,2
,PPCH-202003-019,PPCH - DEP - Canteen,2
,PPCH-202003-020,PPCH - DEP - FACILITY,2
,PPCH-202003-021,PPCH - DEP - CASHIER,2
,PPCH-202003-022,PPCH - DEP - UR,2
,PPCH-202003-023,PPCH - DEP - NUTRITION,2
