Id หลัก,Facter ID,ประเภทการคิด,กลุ่มหัวข้อ,โค้ดการประเมิน,ชื่อ KPI,น้ำหนัก,Target,คะแนน 1,คะแนน 2,คะแนน 3,คะแนน 4,คะแนน 5
,2,3,1,PUTD-202003-002,Revenue,20,37,19,20-24,25-29,30-34,35
,2,3,1,PUTD-202003-002,%ROS,10,55,39,40-44,45-49,50-54,55
,2,2,3,PUTD-202003-002,Job per day,10,60,44,45-49,50-54,55-59,60
,2,2,3,PUTD-202003-002,Customer Satisfaction Index,10,85,70,71-74,75-79,80-84,85
,2,1,3,PUTD-202003-002,ข้อร้องเรียนพฤติกรรมการบริการเจ้าหน้าที่,10,0,4,3,2,1,0
,2,1,4,PUTD-202003-002,จำนวนครั้งของอุบัติการณ์ผู้ป่วยมีอาการเปลี่ยนแปลงขณะรอตรวจจนต้องเข้า ER,4,0,2,,1,,0
,2,1,4,PUTD-202003-002,จำนวนครั้งของอุบัติการณ์ของผู้ป่วยเด็กชักจากไข้สูงขณะรอตรวจ,3,0,2,,1,,0
,2,1,4,PUTD-202003-002,จำนวนครั้งของการIdentifyผู้ป่วยผิดคน,4,0,2,,1,,0
,2,2,4,PUTD-202003-002,OPD Waiting Time (Arrived to Start Consult) <10 min - Non Investigate,4,80,64,65-69,70-74,75-79,80
,2,2,4,PUTD-202003-002,OPD Waiting Time (CompleteConsult to Med Discharge) < 10min - Non Investigate,4,85,69,70-74,75-79,80-84,85
,2,1,4,PUTD-202003-002,จำนวนอุบัติการณ์ระดับ E ขึ้นไป (ยกเว้นข้อที่ตั้งไว้),3,0,2,,1,,0
,2,2,4,PUTD-202003-002,การคัดกรองผู้ป่วยถูกต้อง,4,100,69,70-79,80-89,90-99,100
,2,2,4,PUTD-202003-002,Medication Error : Admin Error ,4,0.1,0.5,0.4,0.3,0.2,0.1
,2,3,5,PUTD-202003-002,อัตราบุคลากรได้รับการ Training ตามแผนอบรมรายบุคคล IDP,10,80,49,50-59,60-69,70-79,80
,2,3,1,PUTD-202003-003,Revenue,20,70,49,50-54,55-59,60-64,65
,2,3,1,PUTD-202003-003,%ROS,10,60,44,45-49,50-54,55-59,60
,2,2,3,PUTD-202003-003,Job per day,10,23,14,15-16,17-18,19-20,21
